Year,NDVI_Rainy,NDVI_Dry,NDVI_Drop,Date_Rainy,Date_Dry
2016,0.4473719481590434,0.41981238586703823,0.02755956229200518,2016-11-09,2016-08-11
2017,0.5168792187420138,0.38518366967414336,0.13169554906787045,2017-11-14,2017-09-25
2018,0.6058233963412636,0.3970089454592502,0.2088144508820134,2018-11-29,2018-09-05
2019,0.726291082958922,0.46105750061713213,0.26523358234178984,2019-12-29,2019-09-15
2020,0.6509250217363031,0.49256492623366094,0.15836009550264213,2020-11-08,2020-09-29
2021,0.7094234781397817,0.4700375457840596,0.2393859323557221,2021-01-27,2021-08-25
2022,0.6086059804179366,0.4297600965392083,0.17884588387872824,2022-11-13,2022-08-30
2023,0.7076951500067384,0.5396049685978407,0.16809018140889775,2023-12-13,2023-08-05
2024,0.6904705889264395,0.4676688146665486,0.22280177425989095,2024-12-07,2024-09-03
2025,0.7104745071857022,0.467912339645208,0.24256216754049414,2025-03-07,2025-09-15
